=== A2: 8 frames/span, 5 spans/call (40 images/call - same as baseline) ===
  np_storagebox  spans  14- 14 ->  0 captions  (input_tokens=1714, output_tokens=14, n_images=4)
  np_storagebox  spans  15- 15 ->  1 captions  (input_tokens=1701, output_tokens=54, n_images=4)
  np_storagebox  spans  16- 16 ->  1 captions  (input_tokens=1701, output_tokens=54, n_images=4)
  np_storagebox  spans  17- 17 ->  0 captions  (input_tokens=1709, output_tokens=14, n_images=4)
  np_storagebox  spans  18- 18 ->  0 captions  (input_tokens=1714, output_tokens=14, n_images=4)
  np_storagebox  spans  19- 19 ->  0 captions  (input_tokens=1710, output_tokens=14, n_images=4)
  np_storagebox  spans  20- 20 ->  0 captions  (input_tokens=1716, output_tokens=14, n_images=4)
  np_storagebox  spans  21- 21 ->  0 captions  (input_tokens=1710, output_tokens=14, n_images=4)
  np_storagebox  spans  22- 22 ->  0 captions  (input_tokens=1704, output_tokens=14, n_images=4)
  np_storagebox  spans  23- 23 ->  0 captions  (input_tokens=1703, output_tokens=14, n_images=4)
  np_storagebox  spans  24- 24 ->  0 captions  (input_tokens=1704, output_tokens=14, n_images=4)
  np_storagebox  spans  25- 25 ->  0 captions  (input_tokens=1704, output_tokens=14, n_images=4)
  np_storagebox  spans  26- 26 ->  0 captions  (input_tokens=1710, output_tokens=14, n_images=4)
  np_storagebox  spans  27- 27 ->  0 captions  (input_tokens=1710, output_tokens=14, n_images=4)
  np_storagebox  spans  28- 28 ->  1 captions  (input_tokens=1716, output_tokens=54, n_images=4)
  np_storagebox  spans  29- 29 ->  1 captions  (input_tokens=1702, output_tokens=56, n_images=4)
  np_storagebox  spans  30- 30 ->  1 captions  (input_tokens=1703, output_tokens=51, n_images=4)
  np_tissue      spans   0-  0 ->  1 captions  (input_tokens=1627, output_tokens=53, n_images=4)
  np_tissue      spans   1-  1 ->  1 captions  (input_tokens=1655, output_tokens=53, n_images=4)
  np_tissue      spans   2-  2 ->  0 captions  (input_tokens=1668, output_tokens=15, n_images=4)
  np_tissue      spans   3-  3 ->  1 captions  (input_tokens=1668, output_tokens=56, n_images=4)
  np_tissue      spans   4-  4 ->  0 captions  (input_tokens=1689, output_tokens=13, n_images=4)
  np_tissue      spans   5-  5 ->  0 captions  (input_tokens=1689, output_tokens=13, n_images=4)
  np_tissue      spans   6-  6 ->  0 captions  (input_tokens=1685, output_tokens=13, n_images=4)
  np_tissue      spans   7-  7 ->  0 captions  (input_tokens=1690, output_tokens=14, n_images=4)
  np_tissue      spans   8-  8 ->  0 captions  (input_tokens=1683, output_tokens=13, n_images=4)
  np_tissue      spans   9-  9 ->  0 captions  (input_tokens=1683, output_tokens=13, n_images=4)
  np_tissue      spans  10- 10 ->  0 captions  (input_tokens=1689, output_tokens=13, n_images=4)
  np_tissue      spans  11- 11 ->  0 captions  (input_tokens=1683, output_tokens=13, n_images=4)
  np_tissue      spans  12- 12 ->  0 captions  (input_tokens=1689, output_tokens=13, n_images=4)
  np_tissue      spans  13- 13 ->  0 captions  (input_tokens=1683, output_tokens=13, n_images=4)
  np_tissue      spans  14- 14 ->  0 captions  (input_tokens=1689, output_tokens=13, n_images=4)
  np_tissue      spans  15- 15 ->  0 captions  (input_tokens=1693, output_tokens=13, n_images=4)
  np_tissue      spans  16- 16 ->  0 captions  (input_tokens=1685, output_tokens=14, n_images=4)
  np_tissue      spans  17- 17 ->  0 captions  (input_tokens=1684, output_tokens=13, n_images=4)
  np_tissue      spans  18- 18 ->  0 captions  (input_tokens=1685, output_tokens=13, n_images=4)
  np_tissue      spans  19- 19 ->  0 captions  (input_tokens=1685, output_tokens=13, n_images=4)
  np_tissue      spans  20- 20 ->  0 captions  (input_tokens=1693, output_tokens=17, n_images=4)
  np_tissue      spans  21- 21 ->  0 captions  (input_tokens=1684, output_tokens=13, n_images=4)
  np_tissue      spans  22- 22 ->  0 captions  (input_tokens=1684, output_tokens=14, n_images=4)

41 captions from 104 spans in 96s
  throughput: 0.43 spans/s  |  2.2x realtime (210s video in 96s)
  mean tokens/call: in 1699  out 31
  wrote caps_s1b.jsonl
ABLATE2_DONE
